15,22
16,22
15,21
17,21
14,20
15,20
16,20
17,20
18,20
5,19
6,19
12,19
13,19
19,19
20,19
4,18
5,18
7,18
11,18
12,18
13,18
14,18
15,18
16,18
17,18
18,18
19,18
20,18
5,17
7,17
10,17
11,17
21,17
22,17
23,17
24,17
5,16
8,16
9,16
10,16
22,16
25,16
26,16
9,15
22,15
23,15
24,15
26,15
27,15
6,14
9,14
23,14
25,14
27,14
6,13
9,13
23,13
25,13
27,13
6,12
7,12
9,12
23,12
24,12
27,12
7,11
8,11
9,11
23,11
26,11
9,10
23,10
24,10
25,10
9,9
22,9
10,8
21,8
22,8
11,7
12,7
13,7
14,7
15,7
16,7
17,7
18,7
19,7
20,7
21,7
