45,66,50
48,66,50
45,63,50
51,63,50
42,60,50
45,60,50
48,60,50
51,60,50
54,60,50
15,57,50
18,57,50
36,57,50
39,57,50
57,57,50
60,57,50
12,54,50
15,54,50
21,54,50
33,54,50
36,54,50
39,54,50
42,54,50
45,54,50
48,54,50
51,54,50
54,54,50
57,54,50
60,54,50
15,51,50
21,51,50
30,51,50
33,51,50
63,51,50
66,51,50
69,51,50
72,51,50
15,48,50
24,48,50
27,48,50
30,48,50
66,48,50
75,48,50
78,48,50
27,45,50
66,45,50
69,45,50
72,45,50
78,45,50
81,45,50
18,42,50
27,42,50
69,42,50
75,42,50
81,42,50
18,39,50
27,39,50
69,39,50
75,39,50
81,39,50
18,36,50
21,36,50
27,36,50
69,36,50
72,36,50
81,36,50
21,33,50
24,33,50
27,33,50
69,33,50
78,33,50
27,30,50
69,30,50
72,30,50
75,30,50
27,27,50
66,27,50
30,24,50
63,24,50
66,24,50
33,21,50
36,21,50
39,21,50
42,21,50
45,21,50
48,21,50
51,21,50
54,21,50
57,21,50
60,21,50
63,21,50
