75,110,50
80,110,50
85,110,50
75,105,50
80,105,50
85,105,50
70,100,50
75,100,50
80,100,50
85,100,50
90,100,50
25,95,50
30,95,50
60,95,50
65,95,50
95,95,50
100,95,50
20,90,50
25,90,50
35,90,50
55,90,50
60,90,50
65,90,50
70,90,50
75,90,50
80,90,50
85,90,50
90,90,50
95,90,50
100,90,50
105,90,50
25,85,50
35,85,50
40,85,50
50,85,50
55,85,50
105,85,50
110,85,50
115,85,50
120,85,50
25,80,50
40,80,50
45,80,50
50,80,50
110,80,50
115,80,50
125,80,50
130,80,50
25,75,50
30,75,50
45,75,50
110,75,50
115,75,50
120,75,50
130,75,50
135,75,50
30,70,50
45,70,50
115,70,50
125,70,50
135,70,50
30,65,50
45,65,50
115,65,50
125,65,50
135,65,50
30,60,50
35,60,50
45,60,50
115,60,50
120,60,50
130,60,50
135,60,50
35,55,50
40,55,50
45,55,50
115,55,50
125,55,50
130,55,50
45,50,50
115,50,50
120,50,50
125,50,50
45,45,50
50,45,50
110,45,50
50,40,50
105,40,50
110,40,50
55,35,50
60,35,50
65,35,50
70,35,50
75,35,50
80,35,50
85,35,50
90,35,50
95,35,50
100,35,50
105,35,50
